Station Number,City,Station Name,Latitude,Longitude,Coordinates,Google Place Name,Notes
RY024,الخرج,غرناطة - الخرج طريق الملك عبد الله,24.1410803,47.2821616,"24.1410803, 47.2821616",محطة درب,
RY025,الخرج,الحمرا - الخرج طريق الملك عبد الله,24.1607766,47.3110583,"24.1607766, 47.3110583",محطة درب - حي الحمراء الخرج,
RY042,الخرج,الناصفة,24.1925625,47.2766875,"24.1925625, 47.2766875",محطة درب,
BH065,الباحة,النزهه ,20.0399842,41.4955444,"20.0399842, 41.4955444",محطة درب,
,,,,,,,صف فارغ
AS081,عسير,العزيزيه,18.30786,42.754308,"18.30786, 42.754308",محطة درب,
As085,عسير,خيبر بيشة,18.81064,42.8797486,"18.81064, 42.8797486",محطة درب,
AS271,عسير,مسارات درب عقبة شعار ,18.4276126,42.474229,"18.4276126, 42.474229",محطة درب,
AS153,عسير,محطة مدخل محايل,18.5569739,42.0425775,"18.5569739, 42.0425775",محطة درب,
RY075,الرياض,الدايري الشمالي,24.7869847,46.7071266,"24.7869847, 46.7071266",محطة درب - الفلاح الرياض,
RY106,الرياض,نجم الدين الايوبي - طويق,24.5520662,46.5705565,"24.5520662, 46.5705565",محطة درب,
EP102,الشرقية,شارع أحد تاروت-القطيف,26.57409,50.05348,"26.57409, 50.05348",محطة درب,
EP051,الشرقية,كورنيش الخبر,26.142104,50.160056,"26.142104, 50.160056",محطة درب,
HA043,حائل,العريفي,27.4695751,41.6621156,"27.4695751, 41.6621156",محطة درب,
QS055,القصيم,الدائري الشرقي,26.335151,44.0563043,"26.335151, 44.0563043",محطة درب,
MD224,المدينة المنورة,محطة الجمعية العربية,24.1007373,38.0871288,"24.1007373, 38.0871288",محطة درب,
MD009,المدينة المنورة,طريق السلام,24.4901987,39.5073193,"24.4901987, 39.5073193",محطة درب,
EP134,حفر الباطن,فيو الواحة,28.40093,45.981949,"28.40093, 45.981949",محطة درب,
"NP130
",طريف,العقيلي -طريق الامير سلطان,31.6524837,38.6864162,"31.6524837, 38.6864162",محطة درب,
NP131,طريف,العقيلي- طريق ابو بكر,31.67391,38.688907,"31.67391, 38.688907",محطة درب,
NJ219,نجران,المركب,17.52976,44.325001,"17.52976, 44.325001",محطة درب,
RY201,الرياض,نبض- طنجة ظهرة البديعة,24.6003399,46.6585284,"24.6003399, 46.6585284",محطة درب,
JA070,جازان,درب الجنوب الاولي - بندر عبده محمد الوائلي الظبية,17.1153071,42.6548026,"17.1153071, 42.6548026",محطة درب,
AS192,خميس مشيط ,محطه الرؤيا-وادي هشبل ,18.377249,42.714924,"18.377249, 42.714924",محطة درب,
AS286,محايل عسير,صناعية محائل,18.5234375,41.9278125,"18.5234375, 41.9278125",محطة درب,
RY083,الرياض,الحوميات,23.0448112,42.8550606,"23.0448112, 42.8550606",Naba Gas station,
JA141,جازان,الأمير سلطان-بيش,19.9286875,42.5945625,"19.9286875, 42.5945625",محطة درب,
MK228,جدة,جدةالملك خالد - دلهام,21.503793,39.197905,"21.503793, 39.197905",محطة درب,
MK310,جدة,الشاطئ-طريق الملك,21.6048353,39.1205061,"21.6048353, 39.1205061",محطة درب,
MK040,جدة,درب - الروضة,21.5630333,39.1533304,"21.5630333, 39.1533304",محطة درب,
JA059,جازان,طريق الملك فهد جازان,16.9681875,42.5678125,"16.9681875, 42.5678125",محطة درب,
MK027,الطائف,الصيانة-طريق المطار,21.331934,40.4366171,"21.331934, 40.4366171",محطة درب,
MK205,جدة,نقز - الربوة,21.6123076,39.1878715,"21.6123076, 39.1878715",محطة درب,
MK021,الطائف,الوسام,21.2285634,40.3789364,"21.2285634, 40.3789364",محطة درب,
MK161,جدة,الحزم,21.8617263,39.0528576,"21.8617263, 39.0528576",محطة درب,
MD096,المدينة المنورة,الهجرة,24.4250945,39.5685883,"24.4250945, 39.5685883",محطة درب,
MK044,مكة,القنفذة,19.1214375,41.1009375,"19.1214375, 41.1009375",محطة درب,
MK012,جدة,طيبه,21.7924585,39.1534145,"21.7924585, 39.1534145",محطة درب,
MK045,المدينة المنورة,مدينة الملك عبد الله-رابغ,22.396501,39.192485,"22.396501, 39.192485",محطة درب,
MK066,جدة,الأمير فواز,21.428833,39.2949042,"21.428833, 39.2949042",محطة درب,
RY105,الرياض,طريق الأمير سعد,24.688193,46.8013265,"24.688193, 46.8013265",محطة درب,
MK326,جدة,"محطة الحمدانية 
",21.7594649,39.1984673,"21.7594649, 39.1984673",محطة درب,
MK013,مكة,بن العباس_الشوقية,21.3706799,39.7907675,"21.3706799, 39.7907675",محطة درب,
MK285,جدة,القرينية,21.3179499,39.2468035,"21.3179499, 39.2468035",محطة درب,
MK260,جدة,ابحر الشمالية-الزمرد ,21.8208125,39.0591875,"21.8208125, 39.0591875",محطة درب,
MK037,مكة,الراشدية,21.4680617,40.0007158,"21.4680617, 40.0007158",محطة درب,
BH050,الباحة,الاطاولة,20.2791514,41.3582562,"20.2791514, 41.3582562",محطة درب,
EP133,حفر الباطن,طريق الملك عبدالله,28.4099365,45.9702918,"28.4099365, 45.9702918",محطة درب,
MD123,المدينة المنورة,محطة بترو بارك - المدينة المنورة,24.4655411,39.5826962,"24.4655411, 39.5826962",محطة درب,
MK206,جدة,نقز - الاجواد,21.6088179,39.2611791,"21.6088179, 39.2611791",محطة درب,
